City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
120,Duvan,55.7,57.9,30.42,95,47,4.07,RU,scattered clouds,2020-11-01 13:52:51
121,Naze,28.37,129.48,77.0,73,26,10.29,JP,scattered clouds,2020-11-01 13:52:52
122,East London,-33.02,27.91,69.8,64,20,18.34,ZA,few clouds,2020-11-01 13:52:14
123,New Norfolk,-42.78,147.06,57.2,76,90,6.93,AU,overcast clouds,2020-11-01 13:52:52
124,Griffith,41.53,-87.42,37.0,55,75,16.11,US,broken clouds,2020-11-01 13:52:52
125,Pacific Grove,36.62,-121.92,59.0,61,1,4.7,US,clear sky,2020-11-01 13:52:52
126,Vardo,70.37,31.11,35.6,84,75,19.46,NO,broken clouds,2020-11-01 13:52:52
127,Victoria,22.29,114.16,75.99,70,4,10.27,HK,light rain,2020-11-01 13:52:52
128,Kushmurun,52.45,64.63,40.17,77,100,5.01,KZ,overcast clouds,2020-11-01 13:52:53
129,Jerantut,3.94,102.36,76.03,89,100,0.58,MY,overcast clouds,2020-11-01 13:52:53
130,Clinton,42.59,-82.92,45.0,70,75,23.04,US,broken clouds,2020-11-01 13:50:19
131,Shetpe,44.17,52.12,61.32,27,83,7.74,KZ,broken clouds,2020-11-01 13:52:53
132,Petropavlovsk-Kamchatskiy,53.05,158.65,30.2,86,74,6.71,RU,broken clouds,2020-11-01 13:52:53
133,Lagoa,39.05,-27.98,67.86,90,70,23.87,PT,light rain,2020-11-01 13:52:53
134,Atuona,-9.8,-139.03,77.79,79,16,16.15,PF,light rain,2020-11-01 13:52:53
135,Port Shepstone,-30.74,30.45,64.22,90,100,15.7,ZA,light rain,2020-11-01 13:52:53
136,Wajir,1.75,40.06,88.97,41,27,11.41,KE,scattered clouds,2020-11-01 13:52:53
137,Namibe,-15.2,12.15,78.8,65,0,11.41,AO,clear sky,2020-11-01 13:52:54
138,Limbang,4.75,115.0,80.01,88,75,4.7,MY,broken clouds,2020-11-01 13:52:54
139,Qaanaaq,77.48,-69.36,0.59,76,0,7.05,GL,clear sky,2020-11-01 13:52:54
140,Iquique,-20.22,-70.14,62.6,72,20,10.29,CL,few clouds,2020-11-01 13:48:34
141,Necochea,-38.55,-58.74,67.42,49,0,4.88,AR,clear sky,2020-11-01 13:52:54
142,Karpathos,35.51,27.21,71.6,56,20,19.46,GR,few clouds,2020-11-01 13:52:54
143,Aykhal,66.0,111.5,-2.2,84,0,8.95,RU,clear sky,2020-11-01 13:52:54
144,Husavik,66.04,-17.34,37.4,86,90,16.11,IS,overcast clouds,2020-11-01 13:52:54
145,Salalah,17.02,54.09,82.4,65,20,9.17,OM,few clouds,2020-11-01 13:52:54
146,Bambanglipuro,-7.95,110.28,77.99,85,100,3.18,ID,overcast clouds,2020-11-01 13:52:55
147,Lincoln Village,39.95,-83.13,54.0,76,90,16.11,US,overcast clouds,2020-11-01 13:52:55
148,Boende,-0.22,20.87,81.66,74,100,2.3,CD,light rain,2020-11-01 13:52:55
149,Waipawa,-41.41,175.52,57.2,76,27,16.11,NZ,scattered clouds,2020-11-01 13:52:55
150,Evensk,61.95,159.23,21.67,93,88,7.43,RU,overcast clouds,2020-11-01 13:52:55
151,Ambilobe,-13.2,49.05,80.67,62,16,6.31,MG,few clouds,2020-11-01 13:52:55
152,Saint-Paul,-21.01,55.27,73.4,60,75,4.7,RE,broken clouds,2020-11-01 13:52:55
153,Saint-Gabriel,46.3,-73.38,39.2,64,98,20.8,CA,overcast clouds,2020-11-01 13:52:55
154,Santiago,-33.46,-70.65,75.99,59,0,2.24,CL,clear sky,2020-11-01 13:52:30
155,Uspenka,48.39,39.16,57.07,67,51,6.6,UA,broken clouds,2020-11-01 13:52:56
156,Auki,-8.77,160.7,78.3,84,100,4.16,SB,overcast clouds,2020-11-01 13:52:56
157,Airai,-8.93,125.41,62.37,100,71,2.17,TL,broken clouds,2020-11-01 13:52:56
158,Dubai,25.26,55.3,86.0,55,0,11.41,AE,clear sky,2020-11-01 13:52:56
159,Itarema,-2.92,-39.92,89.2,55,32,15.12,BR,scattered clouds,2020-11-01 13:52:56
160,Valdosta,30.83,-83.28,62.6,100,90,3.36,US,mist,2020-11-01 13:52:56
161,Pevek,69.7,170.31,14.22,89,95,15.43,RU,overcast clouds,2020-11-01 13:52:56
162,Garowe,8.41,48.48,88.59,24,0,4.03,SO,clear sky,2020-11-01 13:52:57
163,Lata,40.16,-8.33,75.99,64,74,5.61,PT,broken clouds,2020-11-01 13:52:57
164,Batagay-Alyta,67.8,130.41,-4.18,90,100,1.59,RU,overcast clouds,2020-11-01 13:52:57
165,Nelson Bay,-32.72,152.15,66.0,77,90,18.34,AU,overcast clouds,2020-11-01 13:52:57
166,Souillac,-20.52,57.52,75.2,53,40,14.99,MU,scattered clouds,2020-11-01 13:52:57
167,Biltine,14.53,20.92,87.26,22,100,14.72,TD,overcast clouds,2020-11-01 13:52:57
