City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
85,Saint-Joseph,RE,75.2,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
87,Mutata,CO,81.52,broken clouds,7.24,-76.44,Hotel Gran Vía Mutatá
88,Cabra,ES,78.8,clear sky,37.47,-4.44,MS Fuente Las Piedras
89,Camacha,PT,71.6,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
94,Aswan,EG,89.31,clear sky,24.09,32.91,Nuba Nile
96,Ha Tinh,VN,73.15,scattered clouds,18.33,105.9,Phú Quý
99,Rioja,AR,74.73,clear sky,-29.41,-66.85,Hotel Libertador
100,Beitbridge,ZW,84.24,broken clouds,-22.22,30.0,PETERS MOTEL & CONFERENCE CENTRE
103,Villa Carlos Paz,AR,73.99,clear sky,-31.42,-64.5,Monte Carlo
105,Zamora,EC,78.48,overcast clouds,-4.07,-78.96,Cabañas Ecológica Copalinga
109,Yulara,AU,86.0,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
110,Sinnamary,GF,86.77,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
112,Moron,AR,75.0,clear sky,-34.65,-58.62,Hotel Morón
114,Akyab,MM,77.99,very heavy rain,20.15,92.9,Hotel Memory
115,Umm Lajj,SA,84.56,clear sky,25.02,37.27,Moon light Furnished Units
118,Sola,VU,80.67,scattered clouds,-13.88,167.55,Ulkel Guest House
121,Naze,JP,77.0,scattered clouds,28.37,129.48,奄美ポートタワーホテル
127,Victoria,HK,75.99,light rain,22.29,114.16,Mini Hotel Central
129,Jerantut,MY,76.03,overcast clouds,3.94,102.36,Jerantut Hill Resort
134,Atuona,PF,77.79,light rain,-9.8,-139.03,Villa Enata
136,Wajir,KE,88.97,scattered clouds,1.75,40.06,Al- Amin lodge
137,Namibe,AO,78.8,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
138,Limbang,MY,80.01,broken clouds,4.75,115.0,Purnama Hotel
142,Karpathos,GR,71.6,few clouds,35.51,27.21,Alex
145,Salalah,OM,82.4,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
146,Bambanglipuro,ID,77.99,overcast clouds,-7.95,110.28,Puri Brata
148,Boende,CD,81.66,light rain,-0.22,20.87,
151,Ambilobe,MG,80.67,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
152,Saint-Paul,RE,73.4,broken clouds,-21.01,55.27,Boucan Canot
154,Santiago,CL,75.99,clear sky,-33.46,-70.65,Hotel Panamericano
156,Auki,SB,78.3,overcast clouds,-8.77,160.7,Auki Motel
158,Dubai,AE,86.0,clear sky,25.26,55.3,"Radisson Blu Hotel, Dubai Deira Creek"
159,Itarema,BR,89.2,scattered clouds,-2.92,-39.92,Windvillage
162,Garowe,SO,88.59,clear sky,8.41,48.48,Curubo Hotel
163,Lata,PT,75.99,broken clouds,40.16,-8.33,Casa Maquia
166,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
167,Biltine,TD,87.26,overcast clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
176,Hilo,US,71.6,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
178,Arraial Do Cabo,BR,77.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
182,Carutapera,BR,86.97,overcast clouds,-1.2,-46.02,Lidera
183,Vila Velha,BR,73.99,few clouds,-20.33,-40.29,Hotel Vitória Palace
184,Marsa Matruh,EG,72.16,broken clouds,31.35,27.25,Beau Site
189,Bathsheba,BB,82.4,broken clouds,13.22,-59.52,Atlantis Hotel
190,Mutoko,ZW,82.15,few clouds,-17.4,32.23,Nyamakwere Lodges
196,Acapulco,MX,77.0,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
